store_name,place,range_money,max_money,star_score_re,posi_nega_score_re,satisfy_score_re,insta_score_re,calm_score_re,service_score_re,picture_url,link_url
もつ鍋 笑楽 福岡本店,天神,"￥4,000～￥4,999",5000,2.3,4.555873241,1.7031893,1.0670194,1.185185185,1.364197531,https://tblg.k-img.com/restaurant/images/Rvw/245838/640x640_rect_621ebfd9ee988220063f76db1b56f722.jpg,https://tabelog.com/fukuoka/A4001/A400103/40000873/
酒場　角のうぐいす 春吉本店,天神,"￥3,000～￥3,999",4000,2.3,4.129409558,1.960790598,0.897435897,1.256410256,0.756410256,https://tblg.k-img.com/restaurant/images/Rvw/270843/640x640_rect_a7a061eab72427fb887e902d7180c836.jpg,https://tabelog.com/fukuoka/A4001/A400103/40046509/
ワイン食堂　根,天神,"￥5,000～￥5,999",6000,2.3,4.212061971,2.226328502,1.335403727,1.797101449,1.804347826,https://tblg.k-img.com/restaurant/images/Rvw/264671/640x640_rect_dcbcbe0af47c14066febf5b07a454acd.jpg,https://tabelog.com/fukuoka/A4001/A400103/40033681/
パーラーコマツ,天神,"￥3,000～￥3,999",4000,2.3,4.03175937,2.356372549,1.344537815,1.441176471,1.382352941,https://tblg.k-img.com/restaurant/images/Rvw/246902/640x640_rect_ccc1cb5f98a932058ddd615c6fafb839.jpg,https://tabelog.com/fukuoka/A4001/A400103/40049591/
大衆食堂スタンドそのだ 親不孝通り店,天神,"￥2,000～￥2,999",3000,2.3,4.145992471,2.542083333,0.714285714,1.0625,1.125,https://tblg.k-img.com/restaurant/images/Rvw/268295/640x640_rect_da1d5063269c577c9bd2a8cae1252419.jpg,https://tabelog.com/fukuoka/A4001/A400103/40054841/
Bistro O,天神,"￥2,000～￥2,999",3000,2.3,4.5813491,2.516777778,0.904761905,1.133333333,1.166666667,https://tblg.k-img.com/restaurant/images/Rvw/256248/640x640_rect_b082cda36548da88dabcc43038545a1f.jpg,https://tabelog.com/fukuoka/A4001/A400103/40051199/
角屋,天神,"￥2,000～￥2,999",3000,2.25,3.676458464,1.905921053,0.714285714,1.263157895,0.763157895,https://tblg.k-img.com/restaurant/images/Rvw/270660/640x640_rect_8350c36db107d68efa607a9cb41d31a0.jpg,https://tabelog.com/fukuoka/A4001/A400103/40001170/
焼肉ニューヨーコ,天神,"￥6,000～￥7,999",8000,2.25,3.335362115,2.070189003,0.714285714,1.463917526,1.015463918,https://tblg.k-img.com/restaurant/images/Rvw/264616/640x640_rect_611e144b2c32a9cb4086ca458378b19d.jpg,https://tabelog.com/fukuoka/A4001/A400103/40059546/
屋台おかもと 渡辺通店,天神,"￥1,000～￥1,999",2000,2.25,3.542255314,1.515338164,0.714285714,1,0.934782609,https://tblg.k-img.com/restaurant/images/Rvw/252624/640x640_rect_8e2744d2215b6d21901024473fc81dcb.jpg,https://tabelog.com/fukuoka/A4001/A400103/40004983/
コチソバ 天神店,天神,"￥1,000～￥1,999",2000,2.25,3.31432687,2.062713675,1.263736264,1.256410256,0.628205128,https://tblg.k-img.com/restaurant/images/Rvw/242038/640x640_rect_ee6fc3a78d567f03469d53887f2ce074.jpg,https://tabelog.com/fukuoka/A4001/A400103/40029154/
かまわん,天神,"￥2,000～￥2,999",3000,2.25,4.536079148,2.032575758,0.714285714,1.151515152,1.106060606,https://tblg.k-img.com/restaurant/images/Rvw/268873/640x640_rect_da4acee2617479303945fa46455ee318.jpg,https://tabelog.com/fukuoka/A4001/A400103/40040534/
西村や,天神,"￥8,000～￥9,999",10000,2.25,3.544675646,2.583244681,2.234042553,1.531914894,0.925531915,https://tblg.k-img.com/restaurant/images/Rvw/262292/640x640_rect_88bb8351cafc3ae4f6fee464782dc337.jpg,https://tabelog.com/fukuoka/A4001/A400103/40063954/
°F/CONCEPT,天神,"￥3,000～￥3,999",4000,2.25,3.514527729,1.989135021,2.341772152,1.189873418,0.5,https://tblg.k-img.com/restaurant/images/Rvw/268098/640x640_rect_c5ec6d896b2a367de6a3f534d2fd3c7b.jpg,https://tabelog.com/fukuoka/A4001/A400103/40048774/
炭火野菜巻き串と焼売 博多うずまき 薬院店,天神,"￥3,000～￥3,999",4000,2.25,3.024060089,1.27718254,1.054421769,1,1.69047619,https://tblg.k-img.com/restaurant/images/Rvw/257009/640x640_rect_ed6aa51371e6f9fbd2b2dfe913a5e2a3.jpg,https://tabelog.com/fukuoka/A4001/A400103/40056482/
もつ鍋専門店 元祖 もつ鍋 楽天地 天神西通り店,天神,"￥3,000～￥3,999",4000,2.2,2.399573389,1.767255892,0.714285714,1.050505051,1.51010101,https://tblg.k-img.com/restaurant/images/Rvw/116578/640x640_rect_116578874.jpg,https://tabelog.com/fukuoka/A4001/A400103/40049855/
麺や おの食堂,天神,"￥2,000～￥2,999",3000,2.2,3.76730645,2.461444444,0.714285714,1,1.433333333,https://tblg.k-img.com/restaurant/images/Rvw/254856/640x640_rect_8a939ab23e9d6d08ffbe1825362ddb57.jpg,https://tabelog.com/fukuoka/A4001/A400103/40001526/
リバーサイドコマツ,天神,"￥4,000～￥4,999",5000,2.2,4.091727045,1.757175926,1.30952381,1.347222222,1.75,https://tblg.k-img.com/restaurant/images/Rvw/268450/640x640_rect_aa5a60c96fe2817770eff1cb2c55f2d0.jpg,https://tabelog.com/fukuoka/A4001/A400103/40042642/
雷餃子,天神,"￥2,000～￥2,999",3000,2.2,4.278106555,1.620075758,0.930735931,1,0.954545455,https://tblg.k-img.com/restaurant/images/Rvw/1695/5e2bb806ce4c7c30a3c234d6e4394804.jpg,https://tabelog.com/fukuoka/A4001/A400103/40005740/
もつ鍋 慶州 西中洲店,天神,"￥5,000～￥5,999",6000,2.2,4.146856294,1.790104167,0.714285714,1.8125,0.625,https://tblg.k-img.com/restaurant/images/Rvw/253808/640x640_rect_be89c571a4474f960a19ef90c5506e19.jpg,https://tabelog.com/fukuoka/A4001/A400103/40003527/
ビーフマン 天神西通り店,天神,"￥2,000～￥2,999",3000,2.2,3.925153289,3.24625,1.428571429,1.4375,1.5,https://tblg.k-img.com/restaurant/images/Rvw/243987/640x640_rect_9c8c9e493b833ec0fecb49bcb191f23a.jpg,https://tabelog.com/fukuoka/A4001/A400103/40035687/
十割そば　素屋,天神,"￥1,000～￥1,999",2000,2.2,4.261848901,2.243162393,0.714285714,1.320512821,0.756410256,https://tblg.k-img.com/restaurant/images/Rvw/268025/640x640_rect_24a0f2643f84c4cb7552ac8088266160.jpg,https://tabelog.com/fukuoka/A4001/A400103/40022378/
二〇加屋長介 天神ビジネスセンター店,天神,"￥5,000～￥5,999",6000,2.2,4.102823001,2.29465812,1.080586081,1.128205128,0.884615385,https://tblg.k-img.com/restaurant/images/Rvw/257221/640x640_rect_7069fadeccadb4eceef2499a27ff345d.jpg,https://tabelog.com/fukuoka/A4001/A400103/40060532/
